Port Name,Year,Hour of Day,Demand (kW)
Baltimore,100% eCHE,0,1016.8
Baltimore,100% eCHE,1,1016.8
Baltimore,100% eCHE,2,6804.5
Baltimore,100% eCHE,3,6450.0
Baltimore,100% eCHE,4,1806.8
Baltimore,100% eCHE,5,1806.8
Baltimore,100% eCHE,6,1636.4
Baltimore,100% eCHE,7,1016.8
Baltimore,100% eCHE,8,1016.8
Baltimore,100% eCHE,9,1016.8
Baltimore,100% eCHE,10,1016.8
Baltimore,100% eCHE,11,1016.8
Baltimore,100% eCHE,12,1016.8
Baltimore,100% eCHE,13,1016.8
Baltimore,100% eCHE,14,1016.8
Baltimore,100% eCHE,15,1016.8
Baltimore,100% eCHE,16,1016.8
Baltimore,100% eCHE,17,6804.5
Baltimore,100% eCHE,18,1016.8
Baltimore,100% eCHE,19,1016.8
Baltimore,100% eCHE,20,1016.8
Baltimore,100% eCHE,21,1016.8
Baltimore,100% eCHE,22,1016.8
Baltimore,100% eCHE,23,1016.8
Baltimore,2023,0,81.3
Baltimore,2023,1,81.3
Baltimore,2023,2,544.4
Baltimore,2023,3,516.0
Baltimore,2023,4,144.5
Baltimore,2023,5,144.5
Baltimore,2023,6,130.9
Baltimore,2023,7,81.3
Baltimore,2023,8,81.3
Baltimore,2023,9,81.3
Baltimore,2023,10,81.3
Baltimore,2023,11,81.3
Baltimore,2023,12,81.3
Baltimore,2023,13,81.3
Baltimore,2023,14,81.3
Baltimore,2023,15,81.3
Baltimore,2023,16,81.3
Baltimore,2023,17,544.4
Baltimore,2023,18,81.3
Baltimore,2023,19,81.3
Baltimore,2023,20,81.3
Baltimore,2023,21,81.3
Baltimore,2023,22,81.3
Baltimore,2023,23,81.3
Baltimore,2024,0,101.7
Baltimore,2024,1,101.7
Baltimore,2024,2,680.5
Baltimore,2024,3,645.0
Baltimore,2024,4,180.7
Baltimore,2024,5,180.7
Baltimore,2024,6,163.6
Baltimore,2024,7,101.7
Baltimore,2024,8,101.7
Baltimore,2024,9,101.7
Baltimore,2024,10,101.7
Baltimore,2024,11,101.7
Baltimore,2024,12,101.7
Baltimore,2024,13,101.7
Baltimore,2024,14,101.7
Baltimore,2024,15,101.7
Baltimore,2024,16,101.7
Baltimore,2024,17,680.5
Baltimore,2024,18,101.7
Baltimore,2024,19,101.7
Baltimore,2024,20,101.7
Baltimore,2024,21,101.7
Baltimore,2024,22,101.7
Baltimore,2024,23,101.7
Baltimore,2025,0,122.0
Baltimore,2025,1,122.0
Baltimore,2025,2,816.5
Baltimore,2025,3,774.0
Baltimore,2025,4,216.8
Baltimore,2025,5,216.8
Baltimore,2025,6,196.4
Baltimore,2025,7,122.0
Baltimore,2025,8,122.0
Baltimore,2025,9,122.0
Baltimore,2025,10,122.0
Baltimore,2025,11,122.0
Baltimore,2025,12,122.0
Baltimore,2025,13,122.0
Baltimore,2025,14,122.0
Baltimore,2025,15,122.0
Baltimore,2025,16,122.0
Baltimore,2025,17,816.5
Baltimore,2025,18,122.0
Baltimore,2025,19,122.0
Baltimore,2025,20,122.0
Baltimore,2025,21,122.0
Baltimore,2025,22,122.0
Baltimore,2025,23,122.0
Baltimore,2026,0,152.5
Baltimore,2026,1,152.5
Baltimore,2026,2,1020.7
Baltimore,2026,3,967.5
Baltimore,2026,4,271.0
Baltimore,2026,5,271.0
Baltimore,2026,6,245.5
Baltimore,2026,7,152.5
Baltimore,2026,8,152.5
Baltimore,2026,9,152.5
Baltimore,2026,10,152.5
Baltimore,2026,11,152.5
Baltimore,2026,12,152.5
Baltimore,2026,13,152.5
Baltimore,2026,14,152.5
Baltimore,2026,15,152.5
Baltimore,2026,16,152.5
Baltimore,2026,17,1020.7
Baltimore,2026,18,152.5
Baltimore,2026,19,152.5
Baltimore,2026,20,152.5
Baltimore,2026,21,152.5
Baltimore,2026,22,152.5
Baltimore,2026,23,152.5
Baltimore,2027,0,183.0
Baltimore,2027,1,183.0
Baltimore,2027,2,1224.8
Baltimore,2027,3,1161.0
Baltimore,2027,4,325.2
Baltimore,2027,5,325.2
Baltimore,2027,6,294.5
Baltimore,2027,7,183.0
Baltimore,2027,8,183.0
Baltimore,2027,9,183.0
Baltimore,2027,10,183.0
Baltimore,2027,11,183.0
Baltimore,2027,12,183.0
Baltimore,2027,13,183.0
Baltimore,2027,14,183.0
Baltimore,2027,15,183.0
Baltimore,2027,16,183.0
Baltimore,2027,17,1224.8
Baltimore,2027,18,183.0
Baltimore,2027,19,183.0
Baltimore,2027,20,183.0
Baltimore,2027,21,183.0
Baltimore,2027,22,183.0
Baltimore,2027,23,183.0
Baltimore,2028,0,223.7
Baltimore,2028,1,223.7
Baltimore,2028,2,1497.0
Baltimore,2028,3,1419.0
Baltimore,2028,4,397.5
Baltimore,2028,5,397.5
Baltimore,2028,6,360.0
Baltimore,2028,7,223.7
Baltimore,2028,8,223.7
Baltimore,2028,9,223.7
Baltimore,2028,10,223.7
Baltimore,2028,11,223.7
Baltimore,2028,12,223.7
Baltimore,2028,13,223.7
Baltimore,2028,14,223.7
Baltimore,2028,15,223.7
Baltimore,2028,16,223.7
Baltimore,2028,17,1497.0
Baltimore,2028,18,223.7
Baltimore,2028,19,223.7
Baltimore,2028,20,223.7
Baltimore,2028,21,223.7
Baltimore,2028,22,223.7
Baltimore,2028,23,223.7
Baltimore,2029,0,264.4
Baltimore,2029,1,264.4
Baltimore,2029,2,1769.2
Baltimore,2029,3,1677.0
Baltimore,2029,4,469.8
Baltimore,2029,5,469.8
Baltimore,2029,6,425.5
Baltimore,2029,7,264.4
Baltimore,2029,8,264.4
Baltimore,2029,9,264.4
Baltimore,2029,10,264.4
Baltimore,2029,11,264.4
Baltimore,2029,12,264.4
Baltimore,2029,13,264.4
Baltimore,2029,14,264.4
Baltimore,2029,15,264.4
Baltimore,2029,16,264.4
Baltimore,2029,17,1769.2
Baltimore,2029,18,264.4
